kaesang , video apaan sih ini
jessica novia , lucu banget editannya ngakak
di thanks kakak chand buat videonya <haha>
dewa pratama , nama editan yang tet tenet tenet tenet itu apa namanya
malikmalikan , judul lagunya apaan sih <haha>
gawi bastian , harus banget toket kaesang nyeplak ?
indra widyantara , i don t like kaesang s personality
so bored boy
panji prakoso , ditambah kaesang arap penghasilannya banyak dari youtube , dari google adsense adsense
annisa komalasari , gangerti lagi editing nya allahu akbar <haha>
bobby bonar , aku e paling sarkas yang pernah gue tonton ha
, mas kaesang tuh savage sekali njieer ngakak gue
parah mereka bertiga , perut gue kekocok
andika nurramadhan , sound track detik ke 7 judulnya apa abang ?
danu gv , ini video shooting stars atau klarifikasi
whiwhiwhi 13 , ngakak samaf editannya
ran dom , editan nya mancep <haha> anak meme biasa nya tahu
beranjak gede , kaesang sama dengan lucu spontan , arab sama dengan lucu nya spontanitas juga , chandraliow sama dengan scripted joke but his jokes are only in editing
atagsa peacemaker , tet tetet tetete interstatethe tetetetetetetetettetetete
aditya afli , judul lagu 0 06 ?
mtajulmuluk cepat , lucu sekali mas
baby wawa , video nya sebentar amat sih abang
ratna yunita ,
fariz al faruqi , namanya apa sih yang di planet planet gitu ngeditnya ngeditnya
puput febriyanti , kaesang juga manusia pnya hati so jangan asal menilai orang
vetto kausar , lucu yang arap ngomong video
verry hadi , judul lagu nya apa ?
tolong komentar sob sob
happy cihuy , openingnya aseek
riza irmansyah , editan nya
riza irmansyah , terlalu lebay potongan nya
ryry christian , wasyu tenan
knockknock nafal , lagu nih opo ?
audhy alfarizi , seperti giting gue nontonnya
putri cahya , i love you arap ?
kevin pilong , that intro tho
dodi afriyan , aneh loe candra
luthfi baihaqi , <haha> editnya ngga nanggung nanggung , ngakak gue <haha> <haha>
nana thresna , diulang diulang juga gx mbosennin mbosennin
ziad elfarouq , bingung sendiri gue mah ini apaan ?
nyoman sindunata , gagal faham arap samaf candra liaw pas ditanya belu microsoft , mungkin maksud yang nanya kaya bil gates gitu gitu
indra agusman , ngakak di menit 07
48 lihat arap
gagan zaenal mutaqin , video hati hati di internet versi lulusan dekave
alfred nikov , abang kaesang ini gue ngga tahu mau bilang abang atau apa ya
tapi ya sudahlah abang beli perusahaan microsoft dong
, editing tingkat up up
gaming tutorial , tumben kakak reza ngga ngomong saru karena ada kaesang takut di laporin pak jokowi kan ha
gaming tutorial , tolong subscribe saya nanti tak subscribe balik
madsofi yan , anjay orang penting komunikasi pakai hati what ?
ratu delita , kenapa kudu bag raider si ?
nangis ketawa ini <haha>
amara milenia widanti , kaesaang
bennya sidauruk , editan macam apa ini kebanyakan shooting star nya anjir
blueprozert gitu , woi mananih youtuber indonesia reward 2017 tapi sayang mungking pandoev3 ngga bakal ikut karena sudah keluar dan ngga bikin video selama 8bulan ayo di tunggu
muhammad dwiky desrantra , 3 51 ngomong apaan si reza ?
adjen falah , lagunya apa abang ?
cah aya , taiwan hadir
rendy wahyu s , video macam apa ini
yohanes harianto , orang sebaik kaesang dilaporin gila tub yang ngelaporin pasti ndeso ndeso sini tanding aja samaf gue gue
