kaesang , video apaan sih ini
zeffan bagaskara , selalu suka dengan aku dan a tim tim terus berkarya
chappy lama , editannya lucu
satrio aji , kocak
irfan khebot , memang deh content creator ini yang satu ini paling the best time time
anggarani ratnadwita , lagi seneng bag raiders ya
fajarz , editannya ngakak jir <haha> lucu
cndy dsm , seperti gini generasi mendidik ?
marty marty , pokoknya kalau ada in ber 3 seru seru pokok nya
ngga bosen lihatnya
son goku , ful of shooting star
goe cotok , anjay ngakak
reihan agfi , ndeso sama orang penting gituloh <haha>
dewa betto , dota wtf sekali nih <haha>
ipunk miqdat , ngga danta
kliksri , kok rada lebay ya editnya
maghda maharani , sering sering abang collab sama kaesang
agung arifianto , anjrit quality of the videonya ngga ngerti lagi
fiqih ilham , 3 57 4 11 thuglife
sultan marganic , to be continued nya banyak amat
dimasraditya , judul lagu
tim tim tutututututut tutututututut
bayu nugroho , shooting stars everytime
novisah isti komah , gue kirain shooting star meme sudah ngga ngetrend
fariz ary fernanda , kenape shooting star anjing , korelasinya apa
rasyidah larasati , collab sama gen halilintar do abang chan
ryo sinaga , editingnya pasti terisnpirasi sma video yang pernah di repost 9gag
vyi iyv , sebel kenapa editingnya makin bagus sukses bangkzx
svatma chrisant , bhinneka tunggal ika
pemuda sederhana seperti mas kaesang itu ajib benar
zion simanungkalit , di penjara nge vlog vlog
charlos william , ajakin paspampresnya dong
iqbal hanafi , gue nonton video ini jadi sedih
tezarbaasith , ngga tau kenapa tiap bagian lagu the shooting stars langsung ingin ketawa <haha>
m ikhwan nurfarizi , gokil sih kalau 3 orang ini sudah ngumpul
pavita celena , kenapa aku malh salfok sama perut roti sobeknya kaesang ya ya
m ghani permana , kaesang semenjak dilaporin jadi sarkas
pabi , kok chan , itu lagu yang terbang terbang di angkasa apa judulnya ?
sudah lama nyari tapi ngga dapat dapat
jason le , kalau dinyatakan bersalah ngajak teman
o gitu ya
witri yuliyanto , sumpah seru banget
suka editan ya
yumna badzlina , editannya <haha>
sasa risa , tercyduk nih
arap sok imut da ha
mantap , <haha>
tiyo cahya nisbana , editanya selalu jos
adit raf , editanlu abang
mantap jiwa
johannes huang , kayanya gue setuju kalau arap jadi mentri <haha>
kecepatan internet nya di tingkatkan tingkatkan
falmi abyan , abang , loe buat channel aja sama arap
biar orang yang nonton ngakak semua
mexy monita , ngehe editannya
rezpro , serasa nonton dota 2 wtf
eva fauziah , kalau sudah kolaborasi kegini asik nih
hiken no aji , nih ngedit ngga bisa bagusan dikit apa ?
septian andrew , editnya bagus nih
hiken no aji , mantap
komedi unyil , ngga lucu
miftah aveiro , trending abang
yerita ayu , lucuk
dean sinatria , orang penting ngga dengarin gituan
kegoblogan bumi datar , shooting star is everywhere
andhika di , just info judul lagunya bag raiders shooting star
kegoblogan bumi datar , 3 05 t e r c ya di u ke
bisma , ngga lama bakal ada yang butthurt yakin sekali gue
arief kusharyadi , salfok sama tetek nya kaesang <haha>
alung enjoy , panjat sosial ?
nicko andreas , yang bagian telepon gede mksdnya apa sih ?
ferry humolungo , panjat abang
ferdy pramudita , langsung aja ke trending sudah
cahgendeng official , bisa aja lho kecebong
girls squad channel , hitung berapa kah shooting star nya <haha>
ahmad pro_ 003 , ngakak setiap dengar lagu shooting stars
fajar bhakti , kok mana kakak tomylim
fairuz sofiana , bikin video bertiga kaya gini lagi seru nih lihatnya
khairul leon , detik detik pertama nonton video ini yang ada di pikiran gue , kok ciri khas hati hati diinternet ya ?
muehe muehe
girls squad channel , ada shooting star <haha>
nourmalita probosiwi , terserah mau collab sama siapa lagi yang penting ada chandra sama arapnya sudah asik sendiri lihatnya
billy ha , auto trending
albi mukti , bangga punya youtuber kaya chandra liiw , lanjutkan abang dengan video positif nya nya
ordmonic , tim tim masih ada ?
xiu wife , trending dong trending
angger lugas , seneng lihat loe bertiga collab lagi
anugrah raditya putra , arap gendutan , kebanyakan di pompa pompa
ravelia desweriel , mantap lah
scarklein , ngagak <haha>
ricky sulivan , editan nya cuk
dark king , gila editan dewa
pengguna youtube , <haha> loe mau di ajak ke istana presiden rap ?
benarin dulu chanel loe channel seperti sampah kok mau di undang yang ada istana nanti loe anjing anjingin
josefina kawilarang , sebentar lagi trending nih gais
billion ep purba , itu s nearly a dead meme
evn fdhr , editan tingkat dewa
salute brother
muhammad sayuti , pasti trending lah ini
eka maulana p , klik bait
riani permatasari , <haha>
nathanael harsono , nama lagunya apa sih yang barusan pertama kali masuk video
rois sulmukmin , bakal tren nih yakin
hulk 0509 , reza arap di video kakak beratnya berapa kakak
kelihatan gemuk
gregory , shxxting stars terbenang benang diotak gue selalu
linggardi putra , dat opening
imam jabar , shooting stars meme
salsabila charissa medina , nih berdua ngapain sih
kakak imam09 , abang arap sudah jarang upload video
rosania mustika , arap diri rap jangan duduk
_ ryandpw_ , ya shooting star meme
alwan purba , ngeditnya bagus abang
als visura , lagu shooting star nyar anjay
olsa , shooting nya mah biasa , tapi editing nya luar biasa biasa
abiyan rahman , anjir shooting star <haha>
dita nfa , kurusan kakak chan
aulia lia , keren abang keren
dean erlangga , chandra pink despacito cliow
hafidh raditya , 10 18 subtitlenya salah tuh
trending trending kali chan bukan tranding tranding <haha> <haha>
trias arga , ha
ryan juniano abimayu , 0 09 itu judul nya apa sih ?
ada yang tahu ?
comment dong penasaran
rizka tiara prabandini , ini ada video behind the scene nya ngga ya
syaifulanwar gbdns , ha kenapa lucu amat yah
kornelius sasmito , siapa disini sebelum dilaporin lick
lxxi , mampir ke channel aku teman teman
bimo 0200 , humble fix orangnya si kaesang kayanya gaha
infayers , judulnya klarifikasi , tapi videonya bikin nambah kasus
dimas prabowo , singkat amat abang
channel sendiri ,
kumpulan anak anak nakal dan sombong ha
dima masyhuda , arap gendutan
gilang rizqy r , road to trending ?
livia le , bucin itu apaan
yvone chko , kakak nama aku yvonne dibacanya ivon dipanggil iphone
aldi rizki fauzi , edit nya terlalu berlebihan abang
rainer raka , ntaps abang dank habis video nya
meme meme
alvernia yunita , ngga ada hubungannya aing verified samaf comment di live justin
shapedsquare , oh tidak ,
shooting stars stars
lola nur hanifa , ha gemes lihatnya tawa mulu
rezza nuril , makin keren abang
mas irsad , kebanyakan edit
daffa dani irfan , lucu dgr arap sama chandra pakai aku aku
syarief haryanto , badan makin jadi sang , jos berapa taun itu ?
james hamid , abang ini tentang apa ?
omar syamil , shooting stars meme nya goooooood time abang
aliya mukhtar , kerennya ngga habis abiiiiiiiiiiis
emanuel doni , ngevlog
ibagus waskito , kaesang sepertinya ngatur posisi buat kelihatan keker di kamera <haha>
btw lagu shooting star sudah di meme in lama sih
yang ngga tahu ya ngasih tahu saja saja
salma zav , osisaoakkaka
kaitou lunar , kok feel bercanda nya lebih dapat sekarang ya , dari pada yang waktu itu itu
moses nababan , abang chand
yang ini baru shooting sudah di upload
kok yang shooting qna gliko beluman ?
milzam masykur , <haha> , lho tim tim masih ada ?
moch hairafi , awas dilaporin lagi loe loe pada
kan jadi nya t e r c ya di u c ke dan ngga ndeso ndeso amat kok
oh ya kenapa kalian ngga kolaborasi sama ossas
yang lagi ramai keluarganya
shafa alyafahira , anjir opening nya suka sekali <haha>
aryo susanto , kolaborasi keren
kris susilo , mantap abang lagunya
shafnat fu aini , oh my
editingnya ntabs jiw
melinda wahyu , nongkronya
presiden us us
typo kakak chan , kurang ng ng
chairani nur syahla , anying w kaget bagian terakhir sama muka arap
nurpiihanifiant , makin epic editannya
nico lantang , kakak collab sama kok edho dong
rafi raihan , kualitas makin bagus bor
bunga kv , tukang editnya , kurang ajay ya
dea ayu natasia , resolusi gambar chandra memang da best selalu daah
titis satiti , yey
reviankanatalia , kangen abang chandra sama arap satu frame
galuh sepdayanti , ngga tahu kenapa selalu sukak banget sama editan video nya kakak chandra
fadi lah , bucin itu apa sih ?
ae freestyler , kok abang tommy ngga pernah klihatan lagi divideo tim tim
ryan justin , kapan nikah , ngga nikah nikah , unsubcribe ha ha
rizal arap oktovian , kakak
di subcribe 10
di like 5
di comment
mau kasih ngga ?
alfandi khuzaeri , berak abang
barbeqiu gitu , tuh apan sih lagu nya namanya
dimas ardianto , kenapa harus ada lagu shooting star star
<haha> <haha>
yoga fadhillah , loe berdua keren abang
nayla nasyhanda , otw nongkrong di trending sudah ini mah
abstract , dreams come true
euzukaz chanel , share share share
alif caezar , gini dong
editingnya keren abang chan
myskill9 indonesia , ndeso
bani , anak presiden indonesia bukanya kuliah di indonesia ouw
zia naquita , gila seru sekali kalau chandra collab sama arap ditambah kaesang
juandilaan , cek youtube gue dong <haha>
, di subscribe ya teman teman
semoga video gue menghibur ya
vranha , lagu teeeeet toret tet tet tet reeet teet toret
judulnya apaan yh ?
renfar rendi rendi , kocak habis kalian bertiga kwerwen banget
kalian ber 3 bikin chanel aja guys
pasti subscriber nya banyak tuh
dhyta fitri , tim tim samaf weirdgenius malah lebih hits
ananda rifki , kenapa banyak shooting stars
bal bale , the best
afn f c , dooior
farhan megalodon , ada efek shooting star nya jadi tambah kocak
anisa tri lestari , kaesaaang
ahmad zainul abidin , seru looh kalau lagi ngumpul gini terus bikin video bareng
yaah walaupun cuma aku dan a , menghibur menghibur
david apriandy , main ke channel saya ya
pepsi man , editan nya anjay <haha>
muhammad rianz , abang nama lagu nya apaan lucu
agung ghazalie , t e r c ya di u ke
dekarafy 25 , wey anying kaesang kok lho sombong banget sih agam loe apa kristen
yoglay , ha trending nih pasti
arden tanamal , lagu opening apaan sih ?
yang di luar angkasa gitu ?
rendy ramadana , 53 ngakak sekali
hubertus cahyo argo , gue selalu ngga bisa nahan ketawa kalau meim tentang shooting star nongol
good job can
sudah sukses bikin gue ngakak seperti orang gila
isra isra , sbr kakak candra
fitro aidil , abang maaf , suaranya kok agak menggema ya ?
greg , editannya bikin keselek ngakak <haha>
raulmw , kaesang the master of savage savage ha ha
muthia ayu , sudah enak lihat collab samaf kaesangnya
lebih lucu wa
abang arap samaf kok chan jadi lebih selow
victor alkan , banyak sekali abang meme shooting starnya
lagi suka sama memenya ya
tamaru maharani , nanti di c ya di u aku lagi lagi
fjr , dat shooting stars meme tho
fannya sibih , lawak sekali nih betiga
berhenti youtuber jadi pelawak aja lol justkidding
kenni kinarya , shooting star anjir
ab , arap gendut anjir
axel r , shooting stars is dead meme
nicholas jonathan gunawan , ngakak banget pas kaesang bilang subscriber aku sedikit sendiri sendiri ngakak parah tapi keep go forward abang kaesang kaesang
hafiz satrio , pakai shooting star coy
faiz kilua , youtuber paling ngga berguna dan mamfaatin jabatan bapak nya si kowi ya itu keasang , sudah muka ndeso ngatain orang ndeso
ngga punya kaca kali ya si kesang kesang
kucing , meow meow meow meow
wkland ngakak , penjara aja
ndeso ndeso
nicodemus handoyo , perutnya gendutan kaesang
kuper hero rond weasley , mantan ngga di masukin
rzl chnl , editan nya lho lucu banget
ngga rugi deh ngeditnya lamak
pangki tampi , kaya gini punya rencana mau nglaporin
isra isra , kakak nya lagu yang di pakai untuk backsound nya apa ?
faiz kilua , muka ndeso aja pakai sok klarifikasi anjing
lebih alay
kayla girl craftyt8 , <haha> ngakak sumaph pas makan tadinya doyan jadi ngga doyan
eserg ptnd , t e r dan ngga i a dan ngga dan ngga i a dan ngga
karena musik tenonet nonet nonet
ilham fitriadi budiarto , internet sang
naikin ha
rosyid fanani , ngakak so hard , backsounnya keceeeh keceeeh
ynews , kunjungi channel aku please
ahmadsadeli , menuju 1 on trending
imam firmansyah , bagusan duet sama agung hapsah
stay classy
verlina anugrah , salam kecebong
cyclid gaming , main game dikamar doang gitu , kerjaan apa sih itu ?
ngakaksohard ngakaksohard
haidar ibnusina , padahal daritadi make dead meme shooting star , tapi kok gue ngakak mulu ya sepanjang video
<haha> <haha>
starshd , opening terlegend
rizky alfarizi , anjaay editingnya dewa
the vanzanista , tet tenet net net
siraj fathir , kok ngakak ya
kapra kapra , chandra kurang kreatif sekarang , videonya bosenin
sedikit saran gp kn ?
havizal gea , wah ngakak nya gara gara shooting stars lol
okky dalimunthe , anjing keren sekali editan loe abang
naomi ke , tim tim ft
kaesang tercyduck
maryan longlastname , trending , trending , trending trending
echo , shooting stars
the vanzanista , dat intro
jung ayeon , internet mah gue dulu yang cepet cepet indonesia bagaimana ?
ngga usah di peduliin peduliin
yovita irawan , terbang semua
hafiz , collab sama kaesang sama dengan auto trending
infogue , mantap abang
oya jangan lupa mampir di chanel infogue infogue ya gaees
semoga dapat memberikan info bermanfaat sekaligus hiburan
12 yadi , pakai sonya vegas ini ya editnya ?
fiqri diningrat , ini yang di tunggu colabs sama anak hokage 1 presiden dan sama arap reza alien
suga jimin yoonmin , editannya bangsadh sekaleeeh v kerennya kerennya
riza islamia , ngakak dari awal sampai akhir
fudjie doos , kalau ngga trending
gue jadi yutuber
putra ramadhan 12 , andovi bucin
fudjie doos , ngakak
ghifari septandi , chandra liow , arap , kaesang selalu lucu lucu
joker insaf , mentang mentang anak presiden ngaku jadi orang penting
yang penting padahal bapaknya
arinda dsyaputri , mas kaesang , ngegymnya lolos
h , bucin apaan ?
elsa khu , kalau kalian bertiga sudah bersama apalah daya , yang lain entar dulu aja
muhammad ilham , judul nya clipbait bet
hanna helena , bucin apaan sih ?
dyka wahyu syapura , nyari rate
willy hg , videonya something spesial banget bro
derian theniago , kenapa ngga bikin video shooting star nya ful aja abang ?
soalnya ngakak di bagian itu doang
hamdi fadjri , nice abang
kharien cipol , prasaan tmbh gemuk ya kakak chndra sama kakak reza ya apa gra gra sudah punya pcr jadi mkin ideal badannya
kpn dtng ke taiwan kakak hiks ngareep ngareep
dinni badiaturrohmah , ngga berhenti ngakak
ghost gaming itu , cara ngedit seperti gitu pakai apa ya ?
gung praba , gue yakin 10 video ini masuk trending
achmad daffa , ngakak
psim vans , gue ngga suka loe kolaborasi sama kaesang
nano , arap gendutan
aldrick subhan , bil gates itu orang kaya jadi ngga perlu beli yang ori ayo beli bajakan
zeo a , dat shooting stars meme lol
mr noob , shooting star meme paling keren
ahmad sirojudin , candra arap anak presiden sama dengan trending
panjat terus boy jangan lemah boy boy
usaagii_ chan , abang
asli saya bangga lho abang chandra bikin video 80 persen isinya meme
jerri phua , hidung arap ngapain njeer
ngakak seketika
fanissa andriananda , orang humble biasanya suka jatuhin orang kaesang 2017
raisa friska ar , ngakak banget
kaesang diajakin collab sama eclipse dong dong
jesselyn gunawan , top 10 shooting star memes
jateus posmariano , banyak bat shuting star nya
akemi jasmine , shooting star got me being aho
mal ming , mau tanya dong , backsong yang buat beauty shot apa sih yang ada feb debnya debnya
juowei fhan kha , sebentar lagi shooting star bakal booming di indonesia <haha>
rendi yansyah , addicted to dank meme
muhammad bima aji alifiansa , kurang abang arif muhammad
fanissa andriananda , orang humble biasanya suka jatuhin orang kaesang 2017
rizqi alam , teeeet tenet tenoneeet
afri rizky , alay editannya tapi keren juga awesome lahhj
tridologi , mantap abang can ha
jangan lupa mampir di channel aku dan subscribe yh
angello golden , abang kalobisa next pakai yang to be continue
top design , kaesang sispek amat
sudah ngalahin paspanpres ha
iqsa farkhoni , jsdi trending seperti <haha>
silvy qiftia , ini nonton sambil maskeran dan masker gue sampai hhancur hhancur sekarang
ngga ngerti lagi
deden maulana , ngakak movie
kaboom boompaw , wah gue akuin keren sih editanya
ranggi alfatah , yang musik nya itu apa si judul nya kaya sering dengar
fauzan nurul fatah , bikin draw my life dongk abang
edhoy edhoyedodo , jangan diundang ya
ya diundanglah kan amplop loe yang paling gede arapquote hottrending hottrending
danang dirgantara , shooting star sudah dari kapan baru pakai lagi abang ?
jadi trending lagi habis ini
azmi tere , kaesaaang aku fans beratmu
double key , itu edit sepertinya bukan sonya vegas deh ha , sudah pakai ae kok chan ?
dinar yuliyanti , editannya
malif kurniawan , sama pecah nya
muhammad wira , subscribe channel aku entar aku subscribe balik
aia masanina , ngakak sumpah
hampir tersedak makan
helen mei , 4 18 4 25
handphone gatot kaca kaca
<haha> <haha> kringatan ya
tuh tuh ototnya basah basah
nguakak <haha> <haha>
xiaoying present , teettettetttetet
steven mandey , mantap bangetlah
semangaat youtubers
muhammad luthfi , itu musik apa anjir bikin ngefly
xnarukashi amv , editannya , kok , makin gila gila
riawidya , ha mantab
grombyang gaming , baru awal aja sudah ngakak apa lagi ful video
violet aov , shooting star
kokoknim chanel , keren abang
mampir chanelku yuuk yuuk
miz killex , tim tim
miz killex , sering sering collab gini abang
seru habis
rigel abdullah , gokil kalau sudah ber 3 <haha>
christopher julianto , tet tenet tet tet tenet tet teet intro
nuno nickson , editan editan dota wtf
fairuz fakhriyah , <haha> opening nya keren abang
dhika aprian , ngeditnya keren shooting stars
co as , <haha> editan nya mirip anime crack abang
sherren olivia , apa lagunya shi lucu banget
tuidiots , ayo lihat video channel gue , kritik dan sarannya gan gan
hanz pratama , ke 100k views
putrieka , kangen arap <haha>
timothy shawn ladjuba , tranding
daffa fahrizi , teet tet tet tet teteeeeeet
cie yanga baca nya pakai nada nada
arya fikryhuda nurpatria , wait
itu s a shooti ugh
damn meme
handriyas saputra , pasti jadi trending nih video
danielfredrik , reza , chandraliow , kaesang collab yu yu
khairuzan dwijayanto , thanks abang
icha grianti , bucin apaan sih
asta goilop , kaesang bacot loe
adi putra , setuju nih , si kaesang masuk eclipse aja aja
muhammad irfan , to much shooting star
that s what i like
cahya ramadhan , siapa bilang kaesang kurus , ceking , anak baik baik
tuh nyatanya nyatanya
muffy p , aselole
ezzur shadega , cukup sementen
salam kecebong
muhammad ghadanphar , qnanya kurang lama
ajienugrh , 11 menit tersingkat
ipank rinaldy , bucin apa si ?
hisom masduki , abang editanya kok alay gitu ?
ngga bermaksud ngejek lho abang
ambar setiawati , trending nih pasti
steve 111 , trending
peter mccain , i thought shooting star was a dead meme
bintang jati pamungkas ,
kalian bertiga dasar ndeso
zhen nhiveer , akhirnya yang dtunggu tunggu nih dari kmaren
abang candra
yolo hoooman , baru opening aja langsung petcah <haha>
reihandha riefqy , kalau arap uda jumpa chandra dan kaesang
perasaan video nya seperti nonton bioskop marvel
satya ramadhan , gila edit nya
bani rifqi , yang begini nih yang gue tunggu
dari awal ampek abia bikin ngakak
ruly yanto , judul lagu yang 0 06 itu apa ya
adinda v dan , akhirnya tim tim lagi
sutedja rendy , koko jangan terlalu lebay lebay lah jokesnya aneh
ririn anggriani , wah
rubby ariza , ngga perlu panjang kalau buat video , yang pendek edit 5 menit jadi tapi tranding tranding kaesang
fungfu gitu , huh
balik papan , anjir editing nya luar biasa
sandra harmawan , shooting star <haha>
zeayin dege , apaan sih editannya
adhitya samuel , ngakak dosa ngga ?
art istyas , editannya seperti bukan editannya kakak chan
steven iwanto , <haha> gue tahu tuh yang tetetet <haha>
arlan di
s , salam kecebong
habis ini viral lagi nih
minecraft movie , ngga jadi trending nih ?
dennis putra , siapa yang nonton sebelum 1juta views ?
rajarap , abang lagu opening nya apa
bad mrs
frosty , apa cuma gue yang kalau lihat editanya malah ingat kpop on crack gitu <haha>
aisyah ivana di
s , goks
bad mrs
frosty , i adore this channel , abang arap , sama abang kaesang
pearl , chandraliow
upload lama , giliran upload , bikin indonesia gempa
erlanggaxuma minecraft and stuf , shooting star
tet tet tet tet tet teet
mita faidah , <haha> editnya lucu
hanif ayu kusmantini , itu yang intro ada yang tahu ngga lagu nya siapa
almaga julison , sering sering lah bikin ber 3 seperti gini
alya jihan hafidza , editannya woi ngakak
seto mulyadi , besok trending
samantha ratulangi , lagu shooting star star mantap mantap
mpd marcelpd , gendut , sixpack , krempeng
tri wahyu lestari , kalau collab mereka b3 asli ngakak habis
freedom revenge , si kampret lagi addict sekali sama shooting star <haha>
gon bun , mabuk dang meme
danzstleup , dota 2 wtf inspired
mrc 27 , editannya jos
young lan , mantav sog
daffandra s , best meme
bintang ramadhan , detik ke 6 lagunya judulnya apa abang ?
luthz official , kalau ini orang bertiga collab , nontonnya gapernah bosen
hafiz dafos , abang loe masih kegilaan anime crack ya ?
alif andika , abang itu nama memenya apa ?
nur fani , keren kakak editannya kakak
kanngen juga sma kaesang
ramadhani lubis , gwp
daniel _ nsa , editannya kocak
shin , yang suka blang pertamax
tapi kenyataan nya bukan
william richard , meme shooting star next level
deryta deryta , siap
adun channel , kakak chandra ajak collab kaesang karena dia anak presiden , atau karena apa ?
gesrekin aja
, lagu yang didepan pas chandra jadi biru itu apa ya judulnya gengs ?
okta erwindika97 , lagunya apa
mutiara tobibg , aku a kok sedikit banget tapi videonya lama
sangade supradnyana , 10 50 kaget woy
iwan poluan , sering sering dong tampil bareng , keren
muhammad irfan fadilah , kocak ha
sage gaming , nama lagunya apa ?
febry wiji , shooting star anj
ristia cindy , arappalingkecil arapmini
xtc bandung , ini nama lagunya shooting stars
hyura maya , tak tunggu dari kmren
durasinya kurang panjang
itzkrish play , ngakak online
farrel aditya , nonton dua kali tetep ngakak
sultan halal , nice nice nice
clara putu , yok bikin tranding yok
mikhael seravio , tim tim kerjasama samaf agung hapsah bikin film pendek , sudah itu masuk box office
jonathan gunawan , keren
dhea zahra , eclipse bubar ?
hibari desu , cie candra kena shooting star meme
bad genius , stuck di joke orang penting penting
cjze , kenapa chandra liow ngga di undang president yang waktu kemaren kemaren itu ?
adi das , auto trending
genji akus , apa cuma gue yang enak dengar lagunya teet toret totet
yeremi victor , chandraliow meme boi
reza my , kok chan itu tranding ?
bukannya trending ?
yo yo , kakak itu bagian music yang tet teret tet tet tet teret tet teret tetet itu judulnya apa ya
maulana alan , shooting star dimana mana
, 10 50 jumpscare
doopin , nih sepertinya terinspirasi dota wtf
be , yang dislike berarti yang laporin kaesang nih
pabeng chanel , anjay
musik nya
bagas marviano , tetap semangat untuk berkarya ya kakak chandra liow
bara mega , nice banget videonya <haha>
alif akbar , itu lagunya apaan sih
toot toet tooet tooet
judulnya apa ya ?
i am human , shooting star mulu
billy ramdani , anjing sudah ini gue baru tahu di bacain abang _
mdb gaming , abang itu edit nya pasti susah yah
syipazs , kakak editor nya siapa seh terlalu keren buat di nonton nih yang penting sukses terus aja abang chandra semoga bisa sampai berjuta juta subscriber
catur fajar , editannya sapa sudah , ha ha
jamal hasbi , yang nanya lagunya sama dengan darude sandstorm
berliana dela , otot abang kaesang berkat dia olahraga , ototnya abang chandra berkat pizza hut , ototnya abang arap berkat kfc mcd
muhammad nuur , 11 01 yang sangat membuat suasana saya yang awal nya kurang enak jadi tambah enak
thanks for you guys
kevin martin , arap ngomong aku gapentes anjir
fadli hajjan , tim tim is on drugs
vino muhammad , kakak kalau banyak banget efeknya kaya nya jadi bukan kaya tim tim
priscilla wibowo , happy
sudah bubar juga
ha ngakak so hard
alvito maulana , tenet , teneneeeeet , tenet , tenenteeeeeeet
hanifah chanel 2 , congrest kakak candra 1 jt subscribers kakak
mr dick , rekor bucin no 1 masih dipegang andovi da lopez
fairz channel , soundtrack tetttteteet itu judulnya apa abang ?
<haha> bagus
berlian ayu , akhirnya collab sama arap kaesang
david andrian , berapa fps ?
rei martawijaya , hm
ken widya amalandsakti , lagunya apa sih namanya yang editan itu lho
pangeran malau , masuk trending ini mah
danang permana , nonton spiderm man di bali wuakakak
yuliana rian , qna aja editannya bagus , totalitas ya
putro gaming , anjay shooting star meme
agita natasya , ngakak amplop terbesar dari kamu
danang permana , versi arap dong
bilal yusuf , review film dunkirk dong keren habis
agust di , pasti video ini bakalan trending
bonnyfasius tannizar , keren nih editan nya
seperti dotawtf
aldo cedok , tet tetet tetet tetet te tetet tetet
kira yamato arif , nanti lagi trending nih
mirwan roshad , jawaban jawaban kaesang bercandaan doang kan ?
<haha> btw chandra bukber ngga diundang ha
gilang setia , astaga gue ngakak anjaay
riequithania bp , cocok kalian bertiga
eky ganteng , new intronya keren
optimus prime , editan loe asik sekali abang
walaupun gue ngga tau faedahnya apaan ,
hattame _ , kunjungi channel aku gaes , semoga bermanfaat bermanfaat
odie goodday , shooting stars jir
farras lendra , ada yang tahu lagu di menit 00
06 itu apa ?
raindra , ha
riogifard , shooting starsnya
riviant fardan , otw trending nih yakin gue
sri sumaryani , smoga jadi trending
ekybuz , the best sudah tiga orang ini kalau jadi satu
mampir ke channel gue juga ya teman teman
ketchup is my city , bikin bibir mangkuk chalengge
rizky maulana , abang judul lagu intronya apa ?
green walker , dank memes ?
nur kholis , badannya kaisang mantap
zacky , shooting star meme
v4g , kapan qna bareng kami ?
masih youtuber baru abang mungkin masih lama
elia tobing , teeet tenenet tenet teneet teneet teteneet tet terbang terbang
anisa alfreda , kapan tim tim kolaborasi lagi sama agung hapsah
alucar di , shooting star peep pe pep pepeeep pep pep
dipa putra hadi , shooting starnya seperti tai chan
ngakak gue
good job
every day game , lagunya judulnya apa , ada yang menyanyakan sama seperti gue gue
yodi keren , 0 06 apa cuma gue yang mikir itu arcana io
ahmad sofihudin , copyright di description masih 2016 ya ?
reza televisi , salam kecebong gaes <haha> itu epicnya ngeselin juga
zfrost4 gitu , shooting star coba search di youtube entar yang keluar lagu di video ini
gisellha cyntia , ha , bucin masih kakak andovi andovi
the dialnet , abang chand , kok ngga diundang dinner waktu bulan ramadhan abang chand ?
yana yulianti , arap orang penting , sampai dilaporin
wkwkwkwkwkwkqkw wkwkwkwkwkwkqkw
kevin ariestra , harus masuk trending no1
karel grasena , mantap abang sering
sering kolaborasi kolaborasi
eldwin pradipta , to samanya shooting star
adhera _ lee03 , budayakan sebelum
sukhi dhillon , abang bagi lope lope
anderi kurniawan , ada yang tahu judul musik yang dipakai di detik 0 06 ?
faber cream , shooting stars meme
edhel berahim , hiburan setelah pulang kerja , thanks abang
<haha> lucu btw
rey sutanto , welcome trending
alvin alvino , judul lagunya apa
roazty , cool editing
safran takutawa , <haha> mantap
army hutasoit , detik 5 09 seru
maulana daily life , trio gegana
kazami yuuto , anjay can shooting star
redo siregar , like guys biar trending <haha>
bella satiyawan ramli , lebih seru aku a tahun lalu png lebih gokil <haha> , tapi ini juga seru
daffa buffon , best music ever
fernando afiliandi , apaan bangsat
rehan ezk , love this video tho
imam fadhilah , abang judul lagu di intro nya apa
mollusca gaming , abang kok loe gendutan ?
rosepow , ajak kakak pokopow dong kakak vlog
christopher 6969 , 10 50
octavian dwi , editan tergokil sih
i caraku , gokil men
efenka shobirin , editannya bikin ngakak so hard
lolipop 8888 , kakak reza main mobie legend bikin video mobile legend
ilhamramadhan , wah di bajak lagi <haha>
channel sebelah , seperti nya kakak chan agak kurusan sudah <haha>
ilhamramadhan , wah di bajak lagi <haha>
lic experiment , siip kocak sudah
dukung youtube untuk tetap di terima di indonesia
agit naeta , sering dengar lagu itu , judulnya apa sih ?
benzfilm , harus jeli ngedengarnya
karena tiap kali ada jokes pasti ada shooting stars
prasetya diva , why always bag riders
editannya btw great qna mr liow
muh aji f , teeet teet tet tetet
marz buz , that shoting star meme tho
fariz alfarizi , kaesang kalau dipenjara bisanya apa ?
arap nge vlog
ardhy rakasiwi , masterpiece
bunnya cute , kok ngkak sama editan nya
kadek widi , kakak chandra kenapa subcribe turun ?
padahal sudah 1jt subcribe lebih kok sekarang 1jt aja kenapa kakak ?
dian wami ,
seru banget
terus berkarya
dan semangat kakak
kaesang , kakak
chandra , kakak
daniel oksa , abang
chandra jadi nih internet kaesang sudah cepet ?
kakak kaesang sudah cepet
chandra lah indonesia ?
kakak kaesang ngga peduli
alfian sahrulm , detik 10 lagunya siapa ?
yauma hidayat , coba lihat detik 3
39 orang tulisan trending , tapi disubtitlenya tranding tranding
jaju mon , nih lebih gokil dari yang dulu
kelihatan sudah akrab banget ha
alexander louis vuitton , tolong ya editannya dikondisikan ha
the zart gaming , arap gendutan <haha>
azzurama , ada yang tahu judul lagu buat transisi nya ?
wolfcat , trio <haha>
kevin paliama , apa judul lagunnya ?
alfi kholishotun dan , ngakak so hard sama editannya
arieska amelia , editannya kocak sekali abang
novaldy satya , tim two sang
john coalid ca , dasar ndeso
dicky mocil , salam kecebong <haha>
